,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,B99,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,EU27_2020,EXT_EU27_2020,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KCMD_905b,KCMD_927b,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TOTAL,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UN_1500,UN_1501,UN_1502,UN_1503,UN_1517,UN_1518,UN_1636,UN_1637,UN_1829,UN_1830,UN_1832,UN_1833,UN_1835,UN_5500,UN_5501,UN_900,UN_901,UN_902,UN_903,UN_904,UN_905,UN_906,UN_908,UN_909,UN_910,UN_911,UN_912,UN_913,UN_914,UN_915,UN_916,UN_920,UN_921,UN_922,UN_923,UN_924,UN_925,UN_926,UN_927,UN_928,UN_931,UN_934,UN_935,UN_941,UN_947,UN_948,UN_954,UN_957,URY,USA,UZB,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
AFG,0,1,69,0,328619,31,426,0,7392,1854,4172,0,17,3091,0,6,1029,420,416,0,374,48,0,0,19,128,4,52,0,6,19,7189,1893,11,8892,25,22,14,3,115,2,0,7,4,0,145,400,36395,65,0,4467,17,20,35,1626,535,800,172,155,0,0,882,51,4883,0,2,38078,447,73,2,6,5,2,0,760,10,1,270,11,364,14,355,416,215899,886,56753,1814,14,60,4566,14,1009,1711,1369,0,0,776,1495,91,0,0,688,2020,15,1111,14,0,0,2924,8,107,119,51,1,224,133,15,134,25,0,397,19,54,67,40,24,50,25,7,443,10,2,48,3,0,7057,4707,931,0,701,1249,35248,30,27,992,0,15,426,0,130,12,0,1430,560,7792,16,29745,708,46,286,0,21,6,0,345,0,0,214,52,4320,0,47,0,0,1,2,2126,22519,65,0,0,0,3,40,50372,0,312,578,1758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34111,75,0,0,0,111,1,2,0,1138,64,120
AGO,2,0,7,0,13250,1143,33,2,1013,473,239,0,134,3069,1666,166,186,754,91,26,5,328,1,1,26,71267,0,1,0,1294,578,2080,3536,330,57923,1489,1859,3841,7226,576,3,3316,33,6224,3,286,276,6953,9,0,1550,37,737,435,2295,16,11586,69,1546,0,0,139,5,25681,0,684,34251,32,3463,27,5414,390,639,172,418,14,2,1418,188,1563,5,231,1319,11368,659,49,12,15,2980,7677,12,102,780,275,0,0,3251,7,64,0,0,1898,71,3,7586,885,0,3,221,293,591,128,295,1008,3763,60,247,111,604,0,97,1766,141,76,9,9316,3739,816,198,1155,403376,59,18941,27,0,5882,2668,88,0,524,56,705,450,206,12327,1,3,2945,0,300264,421,0,164,1691,4587,649,199,311,1518,1696,0,1023,7,0,11,9907,0,1,63,697,0,242,0,7,76,74,1617,1,1,0,0,0,357,1076,1622,0,1296,586,2761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,16634,193,0,338,0,13100,0,0,0,90267,2971,6662
ALB,63,4,0,0,3580,77,206,38,13338,26483,522,0,0,48166,6,8,19,75816,246,0,31059,168,1,0,4,451,6,0,0,5,9,18254,20750,37,9454,16,33,19,4,491,1,46,5,1065,1,1228,9899,105593,9,0,6791,430,108,23,1576,13,15500,1771,51,0,0,3601,5,42773,0,3,77306,905,43,4,9,3,4,2,1133223,0,0,478,0,2698,0,4135,168,1562,2157,471,200,136,6191,809489,121,490,572,1438,0,0,199,143,21,0,0,6536,828,5,678,2,2,0,47,1,440,1395,753,3,631,198,13,572,1627,0,587623,20,1668,18,15,33,11,92,6,3664,9,3,119,21,0,17596,5971,17,0,2087,278,96,22,35,303,0,0,4278,0,2033,4,0,1253,27166,16631,13,1937,50,77,266,0,8,76,0,0,0,0,10973,17055,8259,0,56,0,0,39,10,526,30,13,0,0,0,9,338,150797,0,55,37,14683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,93415,30,0,6,0,76,0,0,0,516,17,5
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,334606,14324,3320,0,0,18050,58143,103,345847,121886,186580,0,4613,73444,1251,1280,908695,51042,955586,272,58004,9442,26,246,579,44179,251,6672,19,2481,546,121644,202489,2210,573537,11498,30945,13211,32169,9585,1759,113,501,1048,184,44997,119090,865875,55353,43,98901,723,134807,982,1118654,65037,180608,4700,152871,0,0,56100,1113,346367,7,9942,1677296,138622,27256,386,1732,631,162,395,73974,152,140,115593,420,28093,94,67526,151949,7598551,84058,1424265,631969,1609,6411,420252,502,722956,101797,190451,0,0,204438,29817,3749,6,93,115701,1807898,587,649567,518,984,121,378627,195,7972,8304,11431,172,112371,4364,4858,104677,10246,3,10253,5530,11516,11275,1402,14161,10992,70466,4481,120783,1987,5335,216972,140,0,152784,48504,401823,2,32825,1301900,3195055,1806,1063,654677,56,286,51435,8,54215,400,0,2063058,79906,441173,15449,4678376,359501,13460,144031,34,1000,325,0,63105,19,226,14400,2802,107096,0,36915,33,24,7524,1092,325528,46538,95199,0,10,0,735,36887,433111,5,87121,82647,166441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218,635423,65792,20,1165,23,52325,32,64,70,190894,14208,12742
ARG,27,1208,77,0,15176,0,564,119,29213,12663,155,0,8,12375,9,12,200,1148,109,3118,36,166,654,231,668119,3182760,586,28,0,107,9,309180,32417,3949188,41364,71,91,46,39,267026,1,28,22465,133147,314,848,4489,94668,10,16,11378,225576,246,161753,3724,0,511438,359,146,0,0,3532,243,104884,1,24,110054,253,252,53,12,0,22,76,9281,7514,160,6592,2633,3488,957,3000,1136,9803,5951,469,99,215,33930,206415,3035,474,18209,214,0,0,999,16,45,2,78,7759,201,37,1178,11,0,107,166,6,659,1154,543,3,1787,35,80,311,391545,0,37,16,469,129,18,411,6,287,22,1457,242,3,656,2169,0,33211,3910,207,1,27337,98,219,35428,264687,3014,5,12,5777,0,14971,1662256,0,5022,1546,9425,54,729,30,1166,2049,1,18,2668,0,1,1,188,16,545,6919,0,58,0,1816,16,11,21176,4,2,0,132,0,840,291,22403,0,346,182,2717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2749926,1362584,24,25,83783,229,1107,16,115,0,15861,123,143
ARM,423,10,224,0,57601,550,0,0,2236,14161,203,0,8,14242,7,3,490,3932,488,2,157,10121,0,0,1,307,3,0,0,4,6,4953,7735,114,8595,14,19,9,3,149,0,0,3,72,0,4173,9039,35183,7,0,3116,47,13,71,6043,1,20569,1018,58,0,0,1205,2,31484,0,0,10708,12273,24,0,4,2,2,0,15262,3,0,593,2,1245,2,1356,274,5085,425,197712,1519,37,10665,24127,5,1986,830,13609,0,0,75,2802,35,0,0,1474,3168,15,18830,8,2,3,192,9,1720,986,2429,1,144,2265,3,455,1664,0,369,5,337,16,107,35,10,26,4,577,31,3,32,25,0,8868,1148,228,0,273,634,1685,12,27,311,0,0,23544,0,1008,0,0,1289,3220,1036227,17,3036,141,28,361,0,2,20,0,4,0,0,39,277,5702,0,64,0,0,6,3,1544,2664,122,0,0,0,0,44,50959,0,164,45,46394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,92818,2929,0,15,0,126,0,0,0,252,31,13
ATG,0,2,57,0,94,82,0,0,718,270,0,0,0,611,0,0,2,15,5,521,0,0,139,141,1,125,41208,0,0,5,0,23799,557,85,1051,2,2,2,1,221,0,0,115,265,220,10,23,1016,0,43923,117,3375,0,43,5,0,549,65,1,0,0,85,4,646,0,0,84483,5,10,24,0,0,0,0,41,65,6265,60,5,16,246,23,14,460,444,0,0,46,115,6842,11326,2,49,3,0,0,5,0,0,0,66799,109,1,0,178,0,0,22274,2,0,8,10,32,73,19,0,3,0,425,0,1,1,41,1,0,0,0,9,0,54,4,0,268,31,0,274,45,1,0,288,2,2,280,44,110,1,0,78,0,34,16,0,5,26,67,2,6,0,2,19,0,0,40,0,0,0,180,0,5,211,0,0,0,648,0,0,13,0,0,0,1,0,8687,2,19,0,62,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,163596,0,2069,48,13596,5,0,0,0,373,3,5
AUS,5595,1013,13338,0,342512,29834,2236,718,0,161626,2313,0,208,63536,68,458,42307,15058,3307,3930,8228,1375,179,472,672,97019,2561,15959,2888,2046,153,485557,223549,73898,1872168,996,302,732,260,28365,33,11,14285,23291,1923,13800,95387,517364,56,216,66893,1742,1036,15139,26586,540,91836,10998,8348,0,0,22403,524409,194205,1037,156,1696334,2962,3920,231,341,41,6,32,178548,1020,308,778830,175,153009,106,105051,1639644,582036,150909,38916,20442,3334,41998,761873,3022,21780,869570,4949,0,0,17051,2350,156496,1869,90,436479,15166,35697,72603,287,7,155,127062,919,6561,5085,2262,102308,27006,323,1304,24594,93310,145,16527,511,12881,39550,9027,1127,104,26119,624,1027995,9600,26,4484,6978,611,109969,76147,60654,10750,3910742,24966,61144,5297,46710,358248,971,166044,65130,2,73503,811,0,23667,19088,55202,3531,156971,3094,846,1467124,32240,1058,2161,1930,174,2,575,11648,33086,38745,3242,1943,0,45,38,39,904557,91,107,15734,29004,0,1540,1457,76461,390,16456,5552,7566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8636,2057887,434,63,2294,59,390038,79769,56824,0,166136,9628,24453
AUT,2452,945,28887,0,121203,12041,13002,264,161626,0,8115,0,167,590260,171,538,3689,285128,4947,778,33847,32201,172,265,814,102317,1218,105,1,635,169,143062,1653391,6312,797461,768,789,481,199,6431,12,1559,3775,27440,212,59786,1090958,14804927,172,46,415119,20810,12457,2164,144794,63,1329708,34149,3257,0,0,126838,233,1203128,11,474,1377806,15532,2583,86,126,459,43,72,513545,1349,24,25137,380,1363024,126,1583825,19394,79694,133106,50435,15074,18786,184158,4615269,1912,15889,229657,15021,0,0,10779,3485,2178,3,88,284719,18002,859,15731,330,181,372,15483,85,44940,77616,49991,90,33573,32442,664,27545,30919,8,22461,465,57030,2413,3109,660,256,18933,344,12130,3224,274,9180,921,0,642309,160824,3547,1,28154,5563,8406,2056,5046,22175,258,193,939264,31,175904,782,0,14888,437226,321394,488,109524,1386,1888,17593,12,219,315,0,105,26,60,299250,462860,254890,0,10262,0,82,129,209,105363,975,699,0,14,0,597,24568,806277,0,6559,2297,124111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268,901408,2841,30,1499,139,15745,16,21,0,48976,1236,949
