id, x, y ,size, color,opacity,label,layer
A, 0, 0, .4 , green, .9, a , 1
B, 1, .7, .6 ,red, .5, b , 1
C, 2, 1, .8 ,orange, .3, c , 1
D, 2, 0, .5 ,red, .7, d , 1
E,.2, 1.5, .5, gray,, e , 1
F,.1, .5, .7, blue, .3, f , 2
G, 2, 1, .4, cyan, .7, g , 2
H, 1, 1, .4, yellow, .7, h , 2
I, 1, .75, .5, orange, .8, i, 3
J, 1, 0, .5, orange, .75, j, 3
K, 1.5, 0.5, .5, orange, .3, k, 3
L, 1, .75, .5, orange, .8, l, 4
M, 1, 0, .5, orange, .75, m, 4
N, 1.5, 0.5, .5, orange, .3, n, 4
O, 1, .75, .5, orange, .8, o, 5
P, 1, 0, .5, orange, .75, p, 5
Q, 1.5, .5, .5, orange, .3, q, 5
